price_h,price_m,price
17621.454545454544,5500.0,11560.727272727272
18666.0,18869.8,18767.9
15877.504347826087,12500.416666666666,14188.960507246376
17073.347826086956,14513.714285714286,15793.531055900621
16232.01680672269,13372.6875,14802.352153361346
16237.72602739726,14240.529411764706,15239.127719580983
17349.301075268817,15873.846153846154,16611.573614557485
17247.0,12895.833333333334,15071.416666666668
17726.672727272726,16870.363636363636,17298.51818181818
17209.89430894309,18288.7,17749.297154471547
18457.2688172043,14906.8,16682.03440860215
16570.452229299364,14105.894736842105,15338.173483070736
17278.326666666668,15402.666666666666,16340.496666666666
16243.762237762237,13890.35,15067.056118881119
16829.965753424658,14453.9375,15641.951626712329
16220.662162162162,12722.0,14471.33108108108
15456.415254237289,14320.333333333334,14888.374293785311
17282.37278106509,15038.133333333333,16160.25305719921
16499.72972972973,11979.7,14239.714864864865
18853.12582781457,14553.181818181818,16703.153822998192
20951.030534351146,19443.5625,20197.29651717557
19150.355555555554,13525.2,16337.777777777777
19759.036036036036,15721.42857142857,17740.232303732304
23602.13294797688,16619.263157894737,20110.698052935808
24267.880952380954,15479.611111111111,19873.74603174603
28828.68396226415,18447.466666666667,23638.075314465408
25757.56779661017,18203.761904761905,21980.664850686037
26102.825396825396,18781.0,22441.9126984127
26267.699152542373,18013.51851851852,22140.608835530446
25222.9,18072.166666666668,21647.533333333333
25569.1935483871,19139.043478260868,22354.118513323985
28049.16888888889,17105.0,22577.084444444445
27399.502242152466,20443.473684210527,23921.4879631815
25719.3,17797.04761904762,21758.17380952381
24957.119266055044,21797.375,23377.247133027522
23500.045454545456,15987.5,19743.772727272728
23789.90338164251,19856.17391304348,21823.038647342997
24023.82222222222,22125.5,23074.661111111112
26400.567164179105,17396.30769230769,21898.4374282434
23758.0,,
23618.962962962964,,
19370.18181818182,18161.0,18765.59090909091
19011.825396825396,15756.857142857143,17384.34126984127
16891.101265822785,17326.0,17108.550632911392
18430.465909090908,16229.818181818182,17330.142045454544
18952.074626865673,17190.545454545456,18071.310040705564
17311.77192982456,13971.64705882353,15641.709494324044
17423.27192982456,13742.384615384615,15582.828272604587
16091.4,15026.421052631578,15558.910526315789
18866.875,11830.764705882353,15348.819852941177
17281.236559139787,14300.916666666666,15791.076612903227
16626.44871794872,14108.833333333334,15367.641025641027
16785.247863247863,15610.07142857143,16197.659645909647
16195.682242990653,12480.923076923076,14338.302659956866
15558.327731092437,16958.0,16258.16386554622
16277.359375,13116.058823529413,14696.709099264706
16898.398305084746,13260.25,15079.324152542373
16778.382352941175,14083.75,15431.066176470587
16122.876811594202,13771.0625,14946.9696557971
16061.699248120301,14184.388888888889,15123.044068504594
16616.511627906977,14849.333333333334,15732.922480620156
15633.291338582678,13125.947368421053,14379.619353501865
17605.205607476637,16575.0,17090.10280373832
14865.364583333334,14884.3125,14874.838541666668
15278.644927536232,16289.1875,15783.916213768116
15126.55357142857,13910.4375,14518.495535714286
15887.237288135593,14196.125,15041.681144067796
15365.929203539823,13796.153846153846,14581.041524846834
15927.356643356643,12904.45,14415.903321678321
15408.195652173914,14550.35294117647,14979.274296675192
15563.007352941177,13031.388888888889,14297.198120915033
15614.734848484848,14240.529411764706,14927.632130124777
16532.563909774435,16121.857142857143,16327.21052631579
15094.815384615385,13888.32,14491.567692307694
16864.265151515152,16438.941176470587,16651.60316399287
17470.956043956045,14417.4375,15944.196771978022
16676.68345323741,15900.947368421053,16288.815410829231
16244.10759493671,14884.625,15564.366297468354
16687.304,14514.722222222223,15601.013111111111
18406.457627118645,14157.0,16281.728813559323
15438.2,16465.384615384617,15951.792307692309
16753.165048543688,16758.190476190477,16755.677762367082
16756.637583892618,15414.545454545454,16085.591519219037
17059.30769230769,15252.533333333333,16155.920512820512
16605.5593220339,16394.866666666665,16500.21299435028
17288.021739130436,17870.105263157893,17579.063501144163
16644.97037037037,16784.57894736842,16714.774658869395
15708.621621621622,14592.92857142857,15150.775096525096
19629.20408163265,18154.608695652172,18891.906388642412
16577.612903225807,16745.458333333332,16661.53561827957
16578.417910447763,16192.92857142857,16385.673240938166
16625.291338582676,15612.588235294117,16118.939786938397
16865.053030303032,17003.5,16934.276515151516
15799.2125,18694.0,17246.60625
17079.1015625,16142.111111111111,16610.606336805555
17093.81111111111,15888.555555555555,16491.183333333334
17348.410256410258,15621.684210526315,16485.047233468285
16555.450819672133,18233.625,17394.537909836065
16947.82608695652,16079.8,16513.813043478258
16564.54,18889.882352941175,17727.211176470588
17518.04098360656,15883.157894736842,16700.5994391717
16332.451923076924,16664.4375,16498.44471153846
