datetime,price
2018-01-02,15138.28125
2018-01-03,16951.48113207547
2018-01-04,15346.195767195768
2018-01-05,15485.300448430493
2018-01-06,14797.371859296483
2018-01-08,15211.59227467811
2018-01-09,16105.79012345679
2018-01-10,16262.576530612245
2018-01-11,16447.50909090909
2018-01-12,16128.361809045226
2018-01-13,16934.396103896102
2018-01-15,15338.09727626459
2018-01-16,15833.512096774193
2018-01-17,15170.314410480349
2018-01-18,15590.96265560166
2018-01-19,14732.664
2018-01-20,14611.79381443299
2018-01-22,15354.748148148148
2018-01-23,14700.138075313807
2018-01-24,16436.673469387755
2018-01-25,19371.966019417476
2018-01-26,17375.995238095238
2018-01-27,17526.938547486032
2018-01-29,21278.3595505618
2018-01-30,21913.527777777777
2018-01-31,25604.14331210191
2018-02-01,23489.787790697676
2018-02-02,23653.834239130436
2018-02-03,24044.387931034482
2018-02-04,23417.0
2018-02-05,23663.474393530996
2018-02-06,24009.720797720798
2018-02-07,25304.2049689441
2018-02-08,25134.059561128528
2018-02-09,24355.310991957103
2018-02-10,23622.65064102564
2018-02-11,22637.08823529412
2018-02-12,23188.061643835616
2018-02-13,23509.48969072165
2018-02-14,24416.754716981133
2018-02-15,26381.6
2018-02-19,22519.02857142857
2018-02-20,18081.32
2018-02-21,17758.759615384617
2018-02-22,16386.736434108527
2018-02-23,18564.763513513513
2018-02-24,17654.211382113823
2018-02-26,16345.513089005235
2018-02-27,16151.461111111112
2018-02-28,15519.582857142857
2018-03-01,17396.697368421053
2018-03-02,16124.912162162162
2018-03-03,15348.16788321168
2018-03-05,15854.846153846154
2018-03-06,15146.576470588236
2018-03-07,14966.623036649215
2018-03-08,15275.90625
2018-03-09,15574.64705882353
2018-03-10,15306.967213114754
2018-03-12,15134.03982300885
2018-03-13,14342.334782608696
2018-03-14,14748.415887850468
2018-03-15,14275.790243902438
2018-03-16,16151.689655172413
2018-03-17,13744.715789473685
2018-03-19,14624.394495412844
2018-03-20,14355.79347826087
2018-03-21,14649.20618556701
2018-03-22,14807.59090909091
2018-03-23,14520.787234042553
2018-03-24,14730.445086705202
2018-03-26,14186.55707762557
2018-03-27,14324.063063063064
2018-03-28,15278.511848341232
2018-03-29,14146.303167420814
2018-03-30,15942.083720930232
2018-03-31,15898.325
2018-04-02,15646.118421052632
2018-04-03,15062.546558704453
2018-04-04,15667.716279069768
2018-04-05,17624.39156626506
2018-04-06,15031.321243523316
2018-04-07,15451.891191709845
2018-04-09,15796.312757201646
2018-04-10,15753.635514018692
2018-04-11,15611.238341968912
2018-04-12,16358.552511415524
2018-04-13,15809.46875
2018-04-14,15122.3046875
2018-04-16,18339.013043478262
2018-04-17,15242.427272727273
2018-04-18,15750.0
2018-04-19,15802.136585365854
2018-04-20,15967.532407407407
2018-04-21,15189.67808219178
2018-04-23,16269.868932038835
2018-04-24,16360.014598540147
2018-04-25,16163.9
2018-04-26,15807.742718446601
2018-04-27,16044.866666666667
2018-04-28,15796.41111111111
2018-04-30,16164.155339805826
2018-05-01,15608.016483516483
2018-05-02,16394.508287292818
2018-05-03,17072.87373737374
2018-05-04,14813.86974789916
2018-05-05,14553.309090909092
2018-05-07,17316.301775147927
2018-05-08,15279.847826086956
2018-05-09,15558.489655172414
2018-05-10,16760.100591715975
2018-05-11,16834.813397129186
2018-05-12,16421.437908496733
2018-05-14,15766.174672489084
2018-05-15,21414.378238341968
2018-05-16,15828.235632183909
2018-05-17,16750.62962962963
2018-05-18,15630.209039548023
2018-05-19,15063.546448087433
2018-05-21,16432.339130434782
2018-05-22,15172.207692307693
2018-05-23,19744.51282051282
2018-05-24,16522.622754491018
2018-05-25,16393.966666666667
2018-05-26,15909.917808219177
2018-05-28,18801.764397905758
2018-05-29,15940.67857142857
